time,angle,velocity
10412652,98.61,12.34
10422652,98.74,12.34
10432652,98.86,12.34
10442652,98.98,12.34
10452652,99.11,12.34
10462652,99.23,12.34
10472652,99.36,13.46
10482652,99.49,12.34
10492652,99.61,12.34
10502655,99.75,13.46
10512652,99.86,11.22
10522652,99.98,12.34
10532652,100.10,12.34
10542652,100.22,11.22
10552652,100.34,12.34
10562652,100.45,11.22
10572652,100.56,11.22
10582652,100.69,12.34
10592652,100.80,11.22
10602652,100.91,11.22
10612652,101.04,12.34
10622652,101.16,12.34
10632652,101.27,11.22
10642652,101.39,12.34
10652652,101.52,12.34
10662652,101.64,12.34
10672652,101.77,12.34
10682652,101.89,12.34
10692652,102.01,12.34
10702652,102.14,12.34
10712652,102.26,12.34
10722652,102.38,12.34
10732652,102.51,12.34
10742652,102.63,12.34
10752652,102.75,12.34
10762652,102.88,12.34
10772652,103.00,12.34
10782652,103.11,11.22
10792652,103.23,12.34
10802652,103.36,12.34
10812652,103.47,11.22
10822652,103.59,12.34
10832652,103.72,12.34
10842652,103.83,11.22
10852652,103.95,12.34
10862652,104.08,12.34
10872652,104.19,11.22
10882652,104.30,11.22
10892652,104.41,11.22
10902652,104.53,11.22
10912652,104.64,11.22
10922652,104.75,11.22
10932652,104.87,12.34
10942652,104.99,11.22
10952652,105.11,12.34
10962652,105.24,13.46
10972652,105.37,12.34
10982652,105.49,12.34
10992652,105.61,12.34
11002652,105.75,13.46
11012652,105.87,12.34
11022652,106.00,12.34
11032652,106.12,12.34
11042652,106.24,12.34
11052652,106.37,12.34
11062652,106.48,11.22
11072652,106.59,11.22
11082652,106.71,12.34
11092652,106.83,11.22
11102652,106.94,11.22
11112652,107.06,12.34
11122652,107.17,11.22
11132652,107.29,11.22
11142652,107.41,12.34
11152652,107.53,12.34
11162652,107.64,11.22
11172652,107.77,12.34
11182652,107.89,12.34
11192652,108.01,12.34
11202652,108.14,12.34
11212652,108.26,12.34
11222652,108.38,12.34
11232652,108.51,12.34
11242652,108.63,12.34
11252652,108.76,12.34
11262652,108.88,12.34
11272652,108.99,11.22
11282652,109.11,12.34
11292652,109.24,12.34
11302652,109.36,12.34
11312652,109.48,12.34
11322652,109.60,11.22
11332652,109.72,12.34
11342652,109.84,12.34
11352652,109.96,11.22
11362652,110.08,12.34
11372652,110.19,11.22
11382652,110.31,12.34
11392652,110.43,11.22
11402652,110.54,11.22
11412652,110.65,11.22
11422652,110.76,11.22
11432652,110.88,11.22
11442652,110.99,11.22
11452652,111.11,12.34
11462652,111.22,11.22
11472652,111.35,12.34
11482652,111.47,12.34
11492652,111.59,12.34
11502652,111.73,13.46
11512652,111.85,12.34
11522652,111.98,12.34
11532652,112.11,13.46
11542652,112.23,12.34
11552652,112.36,12.34
11562652,112.48,12.34
11572652,112.60,12.34
11582652,112.72,11.22
11592652,112.84,12.34
11602652,112.95,11.22
11612652,113.07,12.34
11622652,113.19,11.22
11632652,113.30,11.22
11642652,113.41,11.22
11652652,113.53,12.34
11662652,113.66,12.34
11672652,113.77,11.22
11682652,113.89,12.34
11692652,114.02,12.34
11702652,114.14,12.34
11712652,114.26,12.34
11722652,114.39,12.34
11732652,114.51,12.34
11742652,114.63,12.34
11752652,114.76,12.34
11762652,114.88,12.34
11772652,115.00,12.34
11782652,115.13,12.34
11792652,115.25,12.34
11802652,115.37,12.34
11812652,115.50,12.34
11822652,115.61,11.22
11832652,115.73,12.34
11842652,115.86,12.34
11852652,115.97,11.22
11862652,116.09,12.34
11872652,116.22,12.34
11882652,116.33,11.22
11892652,116.45,12.34
11902652,116.58,12.34
11912652,116.69,11.22
11922652,116.80,11.22
11932652,116.91,11.22
11942652,117.02,11.22
11952652,117.14,11.22
11962652,117.25,11.22
11972652,117.37,12.34
11982652,117.48,11.22
11992652,117.61,12.34
12002652,117.73,12.34
12012652,117.85,12.34
12022652,117.99,13.46
12032652,118.11,12.34
12042652,118.24,12.34
12052652,118.37,13.46
12062652,118.49,12.34
12072652,118.62,12.34
12082652,118.74,12.34
12092652,118.86,12.34
12102652,118.98,11.22
12112652,119.09,11.22
12122652,119.21,12.34
12132652,119.32,11.22
12142652,119.44,11.22
12152652,119.56,12.34
12162652,119.67,11.22
12172652,119.78,11.22
12182652,119.91,12.34
12192652,120.03,12.34
12202652,120.14,11.22
12212652,120.27,12.34
12222652,120.39,12.34
12232652,120.51,12.34
12242652,120.64,12.34
12252652,120.76,12.34
12262652,120.88,12.34
12272652,121.01,12.34
12282652,121.13,12.34
12292652,121.25,12.34
12302652,121.38,12.34
12312652,121.50,12.34
12322652,121.62,12.34
12332652,121.74,11.22
12342652,121.86,12.34
12352652,121.98,12.34
12362653,122.11,12.34
12372652,122.22,11.22
12382652,122.34,12.34
12392652,122.47,12.34
12402652,122.58,11.22
12412652,122.70,12.34
12422652,122.81,11.22
12432652,122.94,12.34
12442652,123.05,11.22
12452652,123.16,11.22
12462652,123.27,11.22
12472655,123.40,12.34
12482652,123.51,11.22
12492652,123.62,11.22
12502652,123.73,11.22
12512652,123.86,12.34
12522652,123.98,12.34
12532652,124.10,12.34
12542652,124.23,12.34
12552652,124.36,13.46
12562652,124.49,12.34
12572652,124.61,12.34
12582652,124.74,13.46
12592652,124.87,12.34
12602652,124.99,12.34
12612652,125.10,11.22
12622652,125.23,12.34
12632652,125.35,12.34
12642652,125.46,11.22
12652652,125.57,11.22
12662652,125.69,11.22
12672652,125.81,12.34
12682652,125.92,11.22
12692652,126.05,12.34
12702652,126.16,11.22
12712652,126.28,12.34
12722652,126.39,11.22
12732652,126.52,12.34
12742652,126.64,12.34
12752652,126.76,12.34
12762652,126.89,12.34
12772652,127.01,12.34
12782652,127.13,12.34
12792652,127.26,12.34
12802652,127.38,12.34
12812652,127.50,12.34
12822652,127.63,12.34
12832652,127.75,12.34
12842652,127.87,12.34
12852652,128.00,12.34
12862652,128.11,11.22
12872652,128.23,12.34
12882652,128.36,12.34
12892652,128.48,12.34
12902652,128.60,12.34
12912652,128.72,11.22
12922652,128.84,12.34
12932652,128.96,12.34
12942652,129.07,11.22
